SkuNbr,SkuDesc,Flow,Whs,Uom,UnitsPerCase,LeadTime,UomCube,UomWeight,PrimVendorNbr,ShelfLifeDays,Commodity
01110062,MEATS BOAR  6,WH,P,CA,60,21,0.26,10,016898,130,ME00
01110064,MEATS BOAR  7,WH,P,CA,80,21,0.26,10,016898,,ME00
01110065,MEAT - BEEF 8,WH,P,LB,1,8,0.71,24,016898,115,ME05
01110070,MEAT - BEEF 9,WH,P,CA,2,8,1,10,016898,240,ME05
01120013,MEAT - PORK 34,WH,P,LB,1,10,1.24,35,200627,28,ME15
01120014,MEATS BOAR  35,WH,P,LB,4,10,0.96,37,200627,28,ME00
01120055,MEAT - PORK 42,WH,P,LB,1,10,0.46,16,500527,100,ME15
01120056,MEAT - PORK 43,WH,P,LB,1,10,0,0,067590,60,ME15
01120057,MEAT - PORK 45,WH,P,LB,1,14,1.9,42,000402183,365,ME15
01120210,MEATS BOAR  53,WH,P,LB,18,10,0.44,16,200627,7,ME00
01120215,MEATS BOAR  54,WH,P,LB,1,10,0,0,000003,,ME00
01120220,MEATS BOAR  56,WH,P,LB,4,10,1.24,36,200627,,ME00
01120226,MEAT - PORK 59,WH,P,LB,2,10,1.24,31,200627,,ME15
01120228,MEAT - PORK 61,WH,P,LB,14,10,0.81,20,200627,32,ME15
01123000,MEAT - PORK 67,WH,P,LB,12,1,1.24,33.5,200627,364,ME15
01123002,MEAT - PORK 69,WH,P,LB,12,10,6.62,36,200627,364,ME15
01126005,MEAT - PORK 75,WH,P,LB,1,7,0.94,40.55,000003,,ME15
01127005,MEATS BOAR  81,WH,P,CA,1,11,1,1,000003,,ME00
01127007,MEATS BOAR  82,WH,P,LB,1,11,0.43,12.7,000002,,ME00
01127008,MEATS BOAR  83,WH,P,CA,720,8,0,30,000003,60,ME00
01127009,MEATS BOAR  84,WH,P,CA,2,8,0.4,10,067590,60,ME00
01127012,MEATS BOAR  86,WH,P,CA,1,10,0,0,200627,30,ME00
01127014,MEAT - PORK 87,WH,P,CA,1,8,0,20,000003,60,ME15
01127020,MEATS BOAR  90,WH,P,CA,360,8,0.31,6.3,000003,60,ME00
01127026,MEATS BOAR  93,WH,P,CA,300,7,0.39,5.5,000003,10,ME00
01127028,MEATS BOAR  94,WH,P,CA,1000,8,1.28,17,000003,,ME00
01127030,MEAT - PORK 95,WH,P,CA,1000,18,0.69,21,000360557,,ME15
01127032,MEAT - PORK 96,WH,P,CA,1000,21,0.71,18.5,200627,180,ME15
01127035,MEAT - PORK 97,WH,P,CA,600,14,0.58,14,000003,,ME15
01127038,MEAT - PORK 98,WH,P,CA,300,14,0.52,4,000003,,ME15
01127040,MEAT - PORK 99,WH,P,LB,2,14,1.18,30,000003,,ME15
01127042,MEAT - PORK 100,WH,P,CA,450,11,1.18,30,000360557,,ME15
01127044,MEAT - PORK 101,WH,P,CA,225,10,0.52,15,200627,120,ME15
01127046,MEAT - PORK 103,WH,P,CA,1,14,1,15,200627,90,ME15
01127050,MEAT - PORK 104,WH,P,CA,40,15,0.27,10,016898,150,ME15
01127052,MEAT - PORK 105,WH,P,LB,4,15,1.71,43,200627,50,ME15
01140003,VEAL 107,WH,P,LB,8,1,1,15,000003,,ME25
01160004,MEATS BOAR  124,WH,P,LB,1,8,0,24,000003,21,ME00
01160005,MEATS BOAR  125,WH,P,LB,1,9,0,17,000003,21,ME00
01160007,MEATS BOAR  126,WH,P,LB,1,10,0,12,067590,21,ME00
01161022,MEATS BOAR  134,WH,P,LB,1,10,0,0,067590,60,ME00
01190000,MEATS BOAR  153,WH,P,LB,1,12,1.14,14,200243,,ME00
01190001,MEATS BOAR  154,WH,P,LB,1,10,1.14,30,015881,,ME00
01770001,MEATS BOAR  155,CD,P,EA,1,16,0.98,0.5,200035,,ME00
01770003,MEATS BOAR  156,CD,P,LB,1,17,0.03,1,000086076,,ME00
01770004,MEATS BOAR  157,CD,P,CA,2,1,0,20,000003,,ME00
01770005,MEATS BOAR  158,CD,P,LB,1,4,1,1,000086662,,ME00
01770006,MEATS BOAR  159,CD,P,LB,1,5,0.01,1,000086662,,ME00
01770009,MEATS BOAR  160,CD,P,LB,1,8,0.02,1,200243,,ME00
01770010,MEATS BOAR  161,CD,P,LB,1,10,0.02,1,200678,,ME00
01770011,MEATS BOAR  162,CD,P,LB,1,5,0.01,1,000086662,,ME00
01770013,MEATS BOAR  163,CD,P,LB,1,9,0.03,1.01,200678,,ME00
01770023,MEATS BOAR  164,CD,P,LB,5,10,1,1,000369163,,ME00
01770065,MEATS BOAR  165,CD,P,LB,1,6,0.03,1,000086076,,ME00
01770068,MEATS BOAR  166,CD,P,LB,1,24,1,1,010178,,ME00
01770070,MEATS BOAR  167,CD,P,LB,1,4,1,1,000086662,,ME00
01770071,MEATS BOAR  168,CD,P,LB,1,10,0.05,1,012016,,ME00
01770077,MEATS BOAR  169,CD,P,LB,1,13,1,1,054694,,ME00
01770111,MEATS BOAR  170,CD,P,LB,1,5,1,1,054694,,ME00
01770143,MEATS BOAR  171,CD,P,LB,1,5,1,1,201011,,ME00
01770146,MEATS BOAR  172,CD,P,LB,1,13,0.01,1,201011,,ME00
01770152,MEATS BOAR  173,CD,P,LB,1,8,1,1,201011,,ME00
01770186,MEATS BOAR  174,CD,P,LB,1,2,0,1,000086662,,ME00
01770199,MEATS BOAR  175,CD,P,LB,45,2,5.8,1,000369163,,ME00
01770219,MEATS BOAR  176,CD,P,LB,1,8,1,1,200304,,ME00
01770223,MEATS BOAR  177,CD,P,LB,1,3,0.04,1,201112,,ME00
01770255,MEATS BOAR  178,CD,P,LB,1,2,0.05,1,208953,,ME00
01770256,MEATS BOAR  179,CD,P,LB,1,2,0.04,1,208953,,ME00
01770260,MEATS BOAR  180,CD,P,LB,1,3,1,1,000086662,,ME00
01770270,MEATS BOAR  181,CD,P,LB,1,3,1.15,1,000086662,364,ME00
01770309,MEATS BOAR  182,WH,P,LB,,12,,,000003,,ME00
01770310,MEATS BOAR  183,CD,P,LB,1,15,1,1,004439,,ME00
01770322,MEATS BOAR  184,CD,P,LB,1,4,0.03,1,000086076,,ME00
01770402,MEATS BOAR  185,CD,P,LB,1,8,1,1,052685,,ME00
01770500,MEATS BOAR  186,CD,P,LB,1,12,5.8,45,000369163,,ME00
01770502,MEATS BOAR  187,CD,P,LB,1,11,1,1,000369163,,ME00
01770504,MEATS BOAR  188,CD,P,LB,1,8,1,1,000369163,,ME00
01770655,MEATS BOAR  189,CD,P,LB,1,5,1,1,012016,,ME00
01770657,MEATS BOAR  190,CD,P,LB,1,11,1,1,043568,,ME00
01770658,MEATS BOAR  191,CD,P,LB,1,7,0.02,1,043568,,ME00
01770803,MEATS BOAR  192,CD,P,LB,1,7,1,1,200243,,ME00
01770808,MEATS BOAR  193,CD,P,LB,1,15,0.02,1,201011,,ME00
01770811,MEATS BOAR  194,CD,P,EA,1,6,1,1,021082,,ME00
01770816,MEATS BOAR  195,CD,P,LB,1,4,1,1,000086076,,ME00
01771000,MEATS BOAR  196,CD,P,EA,1,14,0.03,0.04,021931,,ME00
01771001,MEATS BOAR  197,CD,P,LB,1,19,0.03,1,027768,,ME00
01772010,MEATS BOAR  198,CD,P,LB,1,5,1,1,000086076,20,ME00
01772013,MEATS BOAR  199,CD,P,LB,1,2,0.02,1,208953,,ME00
01772021,MEATS BOAR  200,CD,P,LB,1,7,1,1,010178,,ME00
01772022,MEATS BOAR  201,CD,P,LB,1,6,0.02,1,062065,,ME00
01772024,MEATS BOAR  202,CD,P,CA,300,67,0.4,30,201028,,ME00
01779999,MEATS BOAR  203,CD,P,LB,1,2,1,1,000002,,ME00
01980498,MEATS BOAR  204,CD,,CA,1,3,0.31,10,000302752,360,ME00
01990001,MEATS BOAR  205,CD,,LB,1,1,0,1,200243,,ME00
01990002,MEATS BOAR  206,CD,,LB,54,5,0.01,20,000375118,364,ME00
01990003,MEATS BOAR  207,CD,,LB,1,5,0.01,2,000375118,7,ME00
01990004,MEATS BOAR  208,CD,,LB,8,5,0.01,7.5,000375118,7,ME00
01990005,MEATS BOAR  209,CD,,LB,15,5,0.01,6.5,000375118,,ME00
01990006,MEATS BOAR  210,CD,,LB,1,1,0,1,000375118,,ME00
01990007,MEATS BOAR  211,CD,,LB,4,2,0,35,000375118,,ME00
01990008,MEATS BOAR  212,CD,,LB,1,2,0,1,033563,,ME00
01990009,MEATS BOAR  213,CD,,LB,12,2,0,35,000375118,,ME00
01990010,MEATS BOAR  214,CD,,LB,10,2,0,10,000375118,,ME00
01990011,MEATS BOAR  215,CD,,LB,1,2,0,1,033563,,ME00
01990012,MEATS BOAR  216,CD,,CA,20,5,0.56,7.5,000302746,60,ME00
01990013,MEATS BOAR  217,CD,,LB,1,2,0,1,200243,,ME00
01990014,MEATS BOAR  218,CD,,LB,1,1,0,1,033563,,ME00
01990015,MEATS BOAR  219,CD,,LB,1,1,0,1,000375118,,ME00
01990016,MEATS BOAR  220,CD,,LB,1,1,0,1,000375118,,ME00
