fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,SkuNbr,ShipToCode,Issued Quantity
2015,7,APRIL,02770076,CD3P,760 
2015,7,APRIL,04126023,3P,60 
2015,7,APRIL,04772849,CD3P,2 
2015,7,APRIL,06110143,3D,12 
2015,7,APRIL,06167364,3D,140 
2015,7,APRIL,06770464,CD3D,4 
2015,7,APRIL,06770585,CD3D,2 
2015,7,APRIL,06775305,CD3P,2 
2015,7,APRIL,06779323,CD3D,1 
2015,7,APRIL,02770015,CD3P,320 
2015,7,APRIL,04116016,3P,182 
2015,7,APRIL,04120012,3P,56 
2015,7,APRIL,04120046,3P,80 
2015,7,APRIL,04120075,3P,120 
2015,7,APRIL,05176000,3P,90 
2015,7,APRIL,06140028,3D,160 
2015,7,APRIL,06160001,3D,780 
2015,7,APRIL,06168064,3D,18 
2015,7,APRIL,06181537,3D,108 
2015,7,APRIL,06771000,CD3P,6 
2015,7,APRIL,06771000,CD3P,8 
2015,7,APRIL,06771000,CD3P,45 
2015,7,APRIL,06771000,CD3P,100 
2015,7,APRIL,06771000,CD3D,6 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06771273,CD3D,1 
2015,7,APRIL,06772022,CD3D,1 
2015,7,APRIL,06772301,CD3D,1 
2015,7,APRIL,07771000,CD3P,1 
2015,7,APRIL,09120006,3D,108 
2015,7,APRIL,09120024,3D,27 
2015,7,APRIL,09150062,3D,108 
2015,7,APRIL,70339994,CD3L,12 
2015,7,APRIL,70345054,CD3L,6 
2015,7,APRIL,70346624,CD3L,24 
2015,7,APRIL,70347924,CD3L,12 
2015,7,APRIL,70350454,CD3L,12 
2015,7,APRIL,70352604,CD3L,4 
2015,7,APRIL,70445084,CD3L,24 
2015,7,APRIL,70447504,CD3L,48 
2015,7,APRIL,70559914,CD3L,12 
2015,7,APRIL,70770904,CD3L,0 
2015,7,APRIL,70776022,CD3L,12 
2015,7,APRIL,70779896,CD3L,12 
2015,7,APRIL,78770743,CD3L,4 
2015,7,APRIL,79BL0040,3L,20 
2015,7,APRIL,80770105,CD3M,1 
2015,7,APRIL,81CN0075,CD3L,2 
2015,7,APRIL,81CN0235,CD3L,1 
2015,7,APRIL,83108904,CD3L,1 
2015,7,APRIL,01770260,CD3P,30 
2015,7,APRIL,01120220,3P,"3,142 "
2015,7,APRIL,01771001,CD3P,7 
2015,7,APRIL,04125003,3P,70 
2015,7,APRIL,04126024,3P,300 
