fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,1,OCTOBER,000195736,05110010,206 
2015,1,OCTOBER,000195736,05110076,258 
2015,1,OCTOBER,000287501,04116015,189 
2015,1,OCTOBER,000287501,04116016,280 
2015,1,OCTOBER,000364514,79BL0950,56 
2015,1,OCTOBER,200362,80807365,"2,376 "
2015,1,OCTOBER,200515,79NR0456,100 
2015,1,OCTOBER,505049,05120005,"1,920 "
2015,1,OCTOBER,751650,04120019,80 
2015,1,OCTOBER,000071990,04110001,432 
2015,1,OCTOBER,000192801,06110030,12 
2015,1,OCTOBER,000294773,02115050,144 
2015,1,OCTOBER,000295230,01150060,"16,348 "
2015,1,OCTOBER,000359447,03140028,"3,000 "
2015,1,OCTOBER,000364514,79CN0075,100 
2015,1,OCTOBER,000402059,06162515,30 
2015,1,OCTOBER,000418043,74745234,"3,072 "
2015,1,OCTOBER,000421254,04126024,"4,450 "
2015,1,OCTOBER,000422837,06160015,128 
2015,1,OCTOBER,000454231,05173057,"2,074 "
2015,1,OCTOBER,000454231,05174000,990 
2015,1,OCTOBER,005086,06160129,112 
2015,1,OCTOBER,016898,01110062,"3,168 "
2015,1,OCTOBER,017743,05130032,240 
2015,1,OCTOBER,017911,77115572,180 
2015,1,OCTOBER,020586,09116069,"1,440 "
2015,1,OCTOBER,023088,06140030,20 
2015,1,OCTOBER,074018,01170214,"5,994 "
2015,1,OCTOBER,076005,09169052,432 
2015,1,OCTOBER,187101,04130094,408 
2015,1,OCTOBER,187101,06160500,"3,570 "
2015,1,OCTOBER,200002,06160345,84 
2015,1,OCTOBER,200362,06160330,"5,724 "
2015,1,OCTOBER,200362,06160446,396 
2015,1,OCTOBER,200362,80807250,"2,640 "
2015,1,OCTOBER,200515,79BL0040,10 
2015,1,OCTOBER,200515,79CN0175,100 
2015,1,OCTOBER,200627,01127012,100 
2015,1,OCTOBER,200679,04127042,"6,480 "
2015,1,OCTOBER,200728,06162512,44 
2015,1,OCTOBER,200728,06164424,240 
2015,1,OCTOBER,200728,06164449,66 
2015,1,OCTOBER,201144,07161149,264 
2015,1,OCTOBER,501084,06157800,60 
2015,1,OCTOBER,751650,04125004,170 
2015,2,NOVEMBER,000192801,06110056,84 
2015,2,NOVEMBER,000333018,05140001,200 
2015,2,NOVEMBER,000378233,02110018,"1,260 "
2015,2,NOVEMBER,000418043,70111296,600 
2015,2,NOVEMBER,000418043,77115694,113 
2015,2,NOVEMBER,000447495,10130004,80 
2015,2,NOVEMBER,000447495,10130007,200 
2015,2,NOVEMBER,000454231,05170018,59 
2015,2,NOVEMBER,000454231,05171000,"1,260 "
2015,2,NOVEMBER,000454231,05173070,260 
2015,2,NOVEMBER,007347,05140020,100 
2015,2,NOVEMBER,017911,75754513,528 
2015,2,NOVEMBER,017911,78786293,528 
2015,2,NOVEMBER,019227,06169935,100 
2015,2,NOVEMBER,023088,06142008,27 
2015,2,NOVEMBER,059002,09150592,420 
2015,2,NOVEMBER,200311,02115045,"3,360 "
2015,2,NOVEMBER,200311,02126000,"49,713 "
2015,2,NOVEMBER,200362,80807588,288 
2015,2,NOVEMBER,200515,79BL0870,16 
2015,2,NOVEMBER,200633,07160218,119 
2015,2,NOVEMBER,200644,06160292,88 
2015,2,NOVEMBER,200728,06164417,12 
2015,2,NOVEMBER,201089,06160076,252 
2015,2,NOVEMBER,201160,07160003,231 
2015,2,NOVEMBER,501084,06164410,8 
2015,2,NOVEMBER,000192801,06110004,294 
2015,2,NOVEMBER,000192801,06110145,172 
2015,2,NOVEMBER,000277875,70120264,300 
2015,2,NOVEMBER,000277875,78786493,"1,056 "
2015,2,NOVEMBER,000364514,79BL8880,408 
2015,2,NOVEMBER,000381195,06161641,296 
2015,2,NOVEMBER,000418043,70118494,144 
2015,2,NOVEMBER,000418043,71713124,12 
2015,2,NOVEMBER,000418043,73733543,60 
2015,2,NOVEMBER,000454231,05173056,280 
2015,2,NOVEMBER,013348,06160033,140 
2015,2,NOVEMBER,016898,01170205,"1,000 "
2015,2,NOVEMBER,017911,75754503,180 
2015,2,NOVEMBER,017911,78786173,120 
2015,2,NOVEMBER,022350,05150035,675 
2015,2,NOVEMBER,022350,07161139,792 
2015,2,NOVEMBER,023088,06142012,51 
2015,2,NOVEMBER,023088,06148028,360 
2015,2,NOVEMBER,048249,09164016,63 
2015,2,NOVEMBER,067590,01161022,"4,000 "
2015,2,NOVEMBER,074018,01170211,"2,016 "
2015,2,NOVEMBER,200002,06163234,153 
2015,2,NOVEMBER,200002,06164430,192 
2015,2,NOVEMBER,200002,06168027,600 
2015,2,NOVEMBER,200311,02115043,"37,656 "
2015,2,NOVEMBER,200362,80807564,96 
2015,2,NOVEMBER,200373,06158009,144 
2015,2,NOVEMBER,200515,79BL2380,208 
2015,2,NOVEMBER,200515,79CN1475,25 
2015,2,NOVEMBER,200587,06167082,360 
2015,2,NOVEMBER,200730,06183628,25 
2015,2,NOVEMBER,201089,06160078,560 
2015,2,NOVEMBER,501084,05130008,"3,440 "
2015,2,NOVEMBER,501084,06110305,15 
2015,3,DECEMBER,000074425,06150140,100 
2015,3,DECEMBER,000192801,06117005,64 
2015,3,DECEMBER,000195736,05110010,"1,918 "
2015,3,DECEMBER,000277875,70110011,"1,314 "
2015,3,DECEMBER,000277875,70114164,420 
2015,3,DECEMBER,000277875,70121124,60 
2015,3,DECEMBER,000277875,71713074,120 
2015,3,DECEMBER,000364514,79BL7800,32 
2015,3,DECEMBER,000402183,01110004,955 
2015,3,DECEMBER,000418043,70114004,972 
2015,3,DECEMBER,000418043,74740294,72 
2015,3,DECEMBER,017911,74744023,372 
2015,3,DECEMBER,023447,04140080,400 
2015,3,DECEMBER,031731,09160002,100 
2015,3,DECEMBER,042948,06140131,396 
2015,3,DECEMBER,076005,09150822,900 
2015,3,DECEMBER,076005,09162020,120 
2015,3,DECEMBER,187101,06160564,"1,050 "
2015,3,DECEMBER,200002,06140005,312 
2015,3,DECEMBER,200002,06161635,16 
2015,3,DECEMBER,200002,06163610,330 
2015,3,DECEMBER,200002,06164431,192 
2015,3,DECEMBER,200255,01120009,"2,010 "
2015,3,DECEMBER,200362,06160309,120 
2015,3,DECEMBER,200362,06160335,432 
2015,3,DECEMBER,200373,06159201,36 
2015,3,DECEMBER,200520,04140119,"1,275 "
2015,3,DECEMBER,200585,05150057,420 
2015,3,DECEMBER,200587,06167040,96 
2015,3,DECEMBER,200633,07160244,272 
2015,3,DECEMBER,200728,06164425,72 
2015,3,DECEMBER,201144,07161150,216 
2015,3,DECEMBER,455075,06168014,17 
2015,3,DECEMBER,505049,05172013,"1,879 "
2015,3,DECEMBER,505049,05173003,432 
2015,1,OCTOBER,000071990,04116022,162 
2015,1,OCTOBER,000074425,06150056,50 
2015,1,OCTOBER,000277875,79BL0990,10 
2015,1,OCTOBER,000364514,79BL7040,24 
2015,1,OCTOBER,000418043,70116764,240 
2015,1,OCTOBER,000418043,76765043,102 
2015,1,OCTOBER,000456529,06161658,237 
2015,1,OCTOBER,013812,06140062,350 
2015,1,OCTOBER,031731,09160025,200 
2015,1,OCTOBER,031731,09160042,90 
2015,1,OCTOBER,067590,01120056,"6,902 "
2015,1,OCTOBER,067590,01160007,"3,996 "
2015,1,OCTOBER,200515,79BL7720,16 
2015,1,OCTOBER,751650,04110038,648 
2015,1,OCTOBER,000074425,06159177,950 
2015,1,OCTOBER,000195736,05110059,300 
2015,1,OCTOBER,000224938,80800011,195 
2015,1,OCTOBER,000280285,04116003,343 
2015,1,OCTOBER,000364514,79BL7060,48 
2015,1,OCTOBER,000370467,06166210,144 
2015,1,OCTOBER,000417275,05178007,248 
2015,1,OCTOBER,000418043,70110004,"1,920 "
2015,1,OCTOBER,000418043,70116834,288 
2015,1,OCTOBER,000430702,10110024,192 
2015,1,OCTOBER,000457022,03140023,"6,000 "
2015,1,OCTOBER,016677,09160035,192 
2015,1,OCTOBER,017911,70115954,"2,688 "
2015,1,OCTOBER,017911,70119964,120 
2015,1,OCTOBER,023819,07160232,900 
2015,1,OCTOBER,187101,04130072,168 
2015,1,OCTOBER,200002,06164430,192 
2015,1,OCTOBER,200002,06168027,720 
2015,1,OCTOBER,200515,79BL0980,136 
2015,1,OCTOBER,200515,79NR6055,200 
2015,3,DECEMBER,751650,04120075,960 
2015,4,JANUARY,000069108,06140039,150 
2015,4,JANUARY,000074425,06150080,700 
2015,4,JANUARY,000086662,01146007,"1,107 "
2015,4,JANUARY,000192801,06110004,342 
2015,4,JANUARY,000192801,06110145,60 
2015,4,JANUARY,000192801,06110149,68 
2015,4,JANUARY,000197900,07161155,150 
2015,4,JANUARY,000277875,70111874,672 
2015,4,JANUARY,000277875,78786493,"1,056 "
2015,4,JANUARY,000402059,06162023,140 
2015,4,JANUARY,000402059,06164451,682 
2015,4,JANUARY,000402059,06164454,24 
2015,4,JANUARY,000418043,70122304,240 
2015,4,JANUARY,000454231,05173051,750 
2015,4,JANUARY,000454231,05173056,291 
2015,4,JANUARY,007032,06150080,30 
2015,4,JANUARY,013348,06160014,20 
2015,4,JANUARY,022350,05150037,"3,150 "
2015,4,JANUARY,023088,06148028,240 
2015,4,JANUARY,032453,06140209,3 
2015,4,JANUARY,033778,06160353,150 
2015,4,JANUARY,059002,09150806,108 
2015,4,JANUARY,074018,01170211,932 
2015,4,JANUARY,200002,10120039,17 
2015,4,JANUARY,200311,02115021,"9,520 "
2015,4,JANUARY,200362,06160333,"2,376 "
2015,4,JANUARY,200362,06160597,108 
2015,4,JANUARY,200515,79CN0195,30 
2015,4,JANUARY,200644,06160299,240 
2015,4,JANUARY,200654,06181536,238 
2015,4,JANUARY,201089,06160078,510 
2015,4,JANUARY,201129,07161200,960 
2015,4,JANUARY,403545,06157000,24 
2015,4,JANUARY,455075,06166015,360 
2015,1,OCTOBER,000364514,79BL0420,16 
2015,1,OCTOBER,000454231,05173000,130 
2015,1,OCTOBER,000454231,05173070,53 
2015,1,OCTOBER,000454231,05174002,180 
2015,1,OCTOBER,005086,06160129,56 
2015,1,OCTOBER,505049,05130060,70 
2015,1,OCTOBER,751650,04110011,60 
2015,1,OCTOBER,000071990,04116022,216 
2015,1,OCTOBER,000074425,06159176,"1,530 "
2015,1,OCTOBER,000182475,06164433,300 
2015,1,OCTOBER,000192801,06110004,198 
2015,1,OCTOBER,000192801,06110145,144 
2015,1,OCTOBER,000195736,05110074,114 
2015,1,OCTOBER,000256622,10120018,330 
2015,1,OCTOBER,000277875,70112652,360 
2015,1,OCTOBER,000277875,70119784,"1,344 "
2015,1,OCTOBER,000277875,78786493,"3,168 "
2015,1,OCTOBER,000358316,02127012,"5,120 "
2015,1,OCTOBER,000364514,79NR1526,50 
2015,1,OCTOBER,000364514,79NR9636,50 
2015,1,OCTOBER,000370467,06166213,250 
2015,1,OCTOBER,000417275,05178006,186 
2015,1,OCTOBER,000418043,70111954,144 
2015,1,OCTOBER,000418043,70120334,300 
2015,1,OCTOBER,000418043,75754743,"2,400 "
2015,1,OCTOBER,013812,06140132,50 
2015,1,OCTOBER,017911,70118394,144 
2015,1,OCTOBER,017911,70118904,"1,344 "
2015,1,OCTOBER,032453,06140203,1 
2015,1,OCTOBER,041308,10140004,20 
2015,1,OCTOBER,059002,09150313,48 
2015,1,OCTOBER,059002,09150420,30 
2015,1,OCTOBER,067590,01127023,500 
2015,1,OCTOBER,076005,09169007,"1,350 "
2015,1,OCTOBER,187101,04130091,612 
2015,1,OCTOBER,200620,06156052,189 
2015,1,OCTOBER,200627,01120220,"7,022 "
2015,1,OCTOBER,200633,07160225,640 
2015,1,OCTOBER,501084,06150143,8 
2015,1,OCTOBER,505049,05170000,"2,744 "
2015,1,OCTOBER,751650,04120026,576 
2015,1,OCTOBER,751650,04125003,250 
2015,1,OCTOBER,751650,04126007,616 
2015,2,NOVEMBER,000074425,06159182,50 
2015,2,NOVEMBER,000192801,06110131,42 
2015,2,NOVEMBER,000192801,06110147,56 
2015,2,NOVEMBER,000195736,05110072,312 
2015,2,NOVEMBER,000277875,70117504,672 
2015,2,NOVEMBER,000277875,70120264,300 
2015,2,NOVEMBER,000333018,05140005,50 
2015,2,NOVEMBER,000378233,02110009,240 
2015,2,NOVEMBER,000418043,70120387,"2,400 "
2015,2,NOVEMBER,000454231,05170010,145 
2015,2,NOVEMBER,000454231,05173018,25 
2015,2,NOVEMBER,000454231,05175000,106 
2015,2,NOVEMBER,023088,06140006,48 
2015,2,NOVEMBER,033778,06160098,180 
2015,2,NOVEMBER,033778,06160359,30 
2015,2,NOVEMBER,033778,06161649,300 
2015,2,NOVEMBER,049070,06160080,480 
2015,2,NOVEMBER,200002,06160168,63 
2015,2,NOVEMBER,200002,06160169,36 
2015,2,NOVEMBER,200002,10120009,12 
2015,2,NOVEMBER,200299,07161413,135 
2015,2,NOVEMBER,200311,02115043,"5,162 "
2015,2,NOVEMBER,200362,06167322,162 
2015,2,NOVEMBER,200620,06156051,126 
2015,2,NOVEMBER,200633,07160231,72 
2015,2,NOVEMBER,200633,07160239,192 
2015,2,NOVEMBER,201144,07161057,216 
2015,4,JANUARY,501084,06110305,45 
2015,4,JANUARY,501084,06160101,200 
2015,4,JANUARY,501084,06166085,112 
2015,4,JANUARY,633203,09150077,231 
2015,4,JANUARY,000074425,06159176,950 
2015,4,JANUARY,000418043,70111304,480 
2015,4,JANUARY,000422837,06146029,60 
2015,4,JANUARY,017911,70111104,156 
2015,4,JANUARY,067590,01126007,140 
2015,4,JANUARY,076005,09150826,360 
2015,4,JANUARY,200353,04146032,200 
2015,4,JANUARY,200362,06160594,70 
2015,4,JANUARY,200362,80807363,660 
2015,4,JANUARY,200373,06161608,360 
2015,4,JANUARY,200400,04124006,300 
2015,4,JANUARY,200633,07161003,119 
2015,4,JANUARY,200644,06168049,32 
2015,4,JANUARY,751650,04126005,320 
2015,5,FEBRUARY,000074425,06159191,30 
2015,5,FEBRUARY,000195736,05110039,256 
2015,5,FEBRUARY,000239926,04128101,156 
2015,5,FEBRUARY,000364514,79CN0046,316 
2015,5,FEBRUARY,000370467,06163613,36 
2015,5,FEBRUARY,000402059,06162023,28 
2015,5,FEBRUARY,000418043,70119474,"2,016 "
2015,5,FEBRUARY,000454231,05170018,43 
2015,5,FEBRUARY,000454231,05176000,315 
2015,5,FEBRUARY,023088,06140006,96 
2015,5,FEBRUARY,023088,06142008,135 
2015,5,FEBRUARY,187101,04130093,136 
2015,5,FEBRUARY,187101,04130105,"1,215 "
2015,5,FEBRUARY,200002,04130036,20 
2015,5,FEBRUARY,200002,05110006,12 
2015,5,FEBRUARY,200002,06167003,12 
2015,5,FEBRUARY,200373,06158029,36 
2015,5,FEBRUARY,200633,07160218,51 
2015,1,OCTOBER,200002,06168038,180 
2015,1,OCTOBER,200002,06168043,95 
2015,1,OCTOBER,200299,07161402,135 
2015,1,OCTOBER,200362,06160594,280 
2015,1,OCTOBER,200633,07160145,357 
2015,1,OCTOBER,200728,06160277,66 
2015,1,OCTOBER,200728,06164432,656 
2015,1,OCTOBER,201129,07161009,45 
2015,1,OCTOBER,201144,07161125,33 
2015,1,OCTOBER,201160,07160006,120 
2015,1,OCTOBER,455075,06168064,48 
2015,1,OCTOBER,751650,04120059,405 
2015,2,NOVEMBER,000016204,05174010,"2,470 "
2015,2,NOVEMBER,000192801,06110098,24 
2015,2,NOVEMBER,000195736,05110010,772 
2015,2,NOVEMBER,000277875,70116401,540 
2015,2,NOVEMBER,000359447,03140032,"4,980 "
2015,2,NOVEMBER,000364514,79CN3016,100 
2015,2,NOVEMBER,000370467,07160054,60 
2015,2,NOVEMBER,000402059,06160457,84 
2015,2,NOVEMBER,000402059,06162022,56 
2015,2,NOVEMBER,000418043,74745483,"2,400 "
2015,2,NOVEMBER,000418043,75754553,528 
2015,2,NOVEMBER,000454231,05173060,80 
2015,2,NOVEMBER,000454231,05174004,45 
2015,2,NOVEMBER,000454231,05176000,315 
2015,2,NOVEMBER,013348,05130018,540 
2015,2,NOVEMBER,020586,09116040,144 
2015,2,NOVEMBER,022350,07160111,850 
2015,2,NOVEMBER,023088,06140028,80 
2015,2,NOVEMBER,032453,06164407,3 
2015,2,NOVEMBER,048249,09150808,48 
2015,2,NOVEMBER,076005,09150185,48 
2015,2,NOVEMBER,076005,09162020,80 
2015,2,NOVEMBER,200002,10120008,24 
2015,2,NOVEMBER,201160,07168155,100 
2015,2,NOVEMBER,201160,07168207,300 
2015,2,NOVEMBER,502589,06146035,350 
2015,2,NOVEMBER,505049,05130024,18 
2015,2,NOVEMBER,751650,04126027,80 
2015,2,NOVEMBER,000074425,06150066,120 
2015,2,NOVEMBER,000074425,06159175,600 
2015,2,NOVEMBER,000074425,06159178,"1,950 "
2015,2,NOVEMBER,000074425,06159181,50 
2015,2,NOVEMBER,000192801,06110056,144 
2015,2,NOVEMBER,000277875,70110504,300 
2015,2,NOVEMBER,000277875,70112084,672 
2015,2,NOVEMBER,000358316,02127008,"41,416 "
2015,2,NOVEMBER,000364514,79BL0710,8 
2015,2,NOVEMBER,000364514,79CN2045,100 
2015,2,NOVEMBER,000383364,79CN2396,300 
2015,2,NOVEMBER,000402059,06162021,56 
2015,2,NOVEMBER,000418043,70122374,960 
2015,2,NOVEMBER,000418043,74748073,0 
